Key,Date,mmdd,DayOfTheWeek,Area,Distance,Timestamp,Tip,OrderAmount,TipPercent,Housing,GenderOfTipper,Cash/Credit_Tip,Cash/Credit_Order,PersonWhoDelivered,Area(text),Latitude,Longitude,month
1,42196,711,Saturday,6,2.2,0.736111111,5.06,19.94,25.3761284,House,Female,Cash,Cash,Angel,Collister - Gary (North of State),43.666573,-116.263356,Jul
2,42293,1016,Friday,9,1,0.736111111,4.17,20.83,20.0192031,House,Male,Cash,Cash,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Oct
3,42232,816,Sunday,2,3,0.734722222,2,15.27,13.0975769,Apartment,Male,Cash,Credit,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
4,42265,918,Friday,6,1.8,0.734722222,3,27.63,10.8577633,House,Female,Credit,Credit,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
5,42204,719,Sunday,6,1.3,0.734027778,3.5,32.13,10.8932462,Apartment,Male,Credit,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Jul
6,42244,828,Friday,3,3.1,0.734027778,0,37.85,0,Apartment,Male,-,Credit,Sammie,Garden City,43.633857,-116.24628,Aug
7,42245,829,Saturday,7,3.2,0.734027778,5,28.04,17.831669,House,Male,Cash,Credit,Angel,West of Gary/Glennwood,43.672328,-116.286124,Aug
8,42274,927,Sunday,2,2.8,0.734027778,2,20,10,House,Female,Cash,Cash,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Sep
9,42211,726,Sunday,1,2.3,0.733333333,1.73,15.27,11.3294041,House,Male,Cash,Cash,Angel,North End,43.633105,-116.208304,Jul
10,42231,815,Saturday,3,2.5,0.733333333,1.82,17.18,10.5937136,Apartment,Female,Cash,Cash,Sammie,Garden City,43.633857,-116.24628,Aug
11,42254,907,Monday,8,7.8,0.733333333,4,27.35,14.6252285,House,Male,Credit,Credit,Sammie,Hidden Springs,43.723879,-116.255046,Sep
12,42231,815,Saturday,3,2,0.732638889,1.5,17,8.8235294,Apartment,Female,Credit,Credit,Angel,Garden City,43.633857,-116.24628,Aug
13,42246,830,Sunday,3,2.7,0.732638889,-0.05,18.9,-0.2645503,Apartment,Male,-,Cash,Sammie,Garden City,43.633857,-116.24628,Aug
14,42252,905,Saturday,1,2.5,0.732638889,2,15.18,13.1752306,House,Male,Cash,Credit,Angel,North End,43.633105,-116.208304,Sep
15,42253,906,Sunday,5,0.8,0.732638889,3,21.43,13.9990667,Apartment,Male,Credit,Credit,Angel,28th - Collister (North of State),43.648076,-116.23413,Sep
16,42261,914,Monday,1,3.4,0.732638889,3,24.46,12.2649223,House,Female,Credit,Credit,Sammie,North End,43.633105,-116.208304,Sep
17,42302,1025,Sunday,4,2.6,0.732638889,3,23.14,12.9645635,Apartment,Male,Credit,Credit,Angel,Bogus Basin - Gary (North of Hill),43.659428,-116.231891,Oct
18,42309,1101,Sunday,5,1.8,0.732638889,4,25.33,15.7915515,House,Male,Cash,Credit,Sammie,28th - Collister (North of State),43.648076,-116.23413,Nov
19,42236,820,Thursday,1,2.3,0.73125,5,35.17,14.2166619,House,Male,Credit,Credit,Sammie,North End,43.633105,-116.208304,Aug
20,42274,927,Sunday,1,2.4,0.73125,5,20.12,24.8508946,House,Male,Credit,Credit,Sammie,North End,43.633105,-116.208304,Sep
21,42300,1023,Friday,3,2,0.73125,3,22.08,13.5869565,Business,Male,Credit,Credit,Angel,Garden City,43.633857,-116.24628,Oct
22,42303,1026,Monday,9,0.9,0.73125,5,32.64,15.3186275,Apartment,Male,Cash,Credit,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Oct
23,42197,712,Sunday,6,1,0.730555556,6,29.9,20.0668896,Apartment,Male,Credit,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Jul
24,42238,822,Saturday,2,1.7,0.730555556,0,22.08,0,Apartment,Male,-,Credit,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
25,42240,824,Monday,6,0.2,0.730555556,3,15.71,19.0961171,Apartment,Male,Credit,Credit,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Aug
26,42253,906,Sunday,5,1.1,0.730555556,2,24.55,8.1466395,House,Male,Credit,Credit,Sammie,28th - Collister (North of State),43.648076,-116.23413,Sep
27,42254,907,Monday,1,3,0.730555556,3,12.51,23.9808153,House,Female,Credit,Credit,Angel,North End,43.633105,-116.208304,Sep
28,42296,1019,Monday,5,1.5,0.730555556,0,27.98,0,Apartment,Female,-,Credit,Angel,28th - Collister (North of State),43.648076,-116.23413,Oct
29,42233,817,Monday,6,1,0.729861111,4,20.22,19.7823937,Apartment,Male,Credit,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Aug
30,42251,904,Friday,8,8.1,0.729861111,6,18.9,31.7460317,House,Male,Credit,Credit,Angel,Hidden Springs,43.723879,-116.255046,Sep
31,42275,928,Monday,3,2.7,0.729861111,0.21,21.79,0.9637448,Apartment,Female,Cash,Cash,Angel,Garden City,43.633857,-116.24628,Sep
32,42218,802,Sunday,3,1.8,0.729166667,2,23.66,8.4530854,House,Male,Credit,Credit,Sammie,Garden City,43.633857,-116.24628,Aug
33,42273,926,Saturday,3,3,0.729166667,5,33.7,14.8367953,Apartment,Female,Credit,Credit,Angel,Garden City,43.633857,-116.24628,Sep
34,42301,1024,Saturday,6,2.2,0.729166667,6.49,43.61,14.8819078,House,Female,Cash,Cash,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Oct
35,42203,718,Saturday,3,3.4,0.727777778,2.92,22.08,13.2246377,House,Female,Cash,Cash,Angel,Garden City,43.633857,-116.24628,Jul
36,42275,928,Monday,3,2.3,0.727777778,5,27.88,17.9340029,House,Female,Credit,Credit,Angel,Garden City,43.633857,-116.24628,Sep
37,42301,1024,Saturday,8,8.4,0.727777778,7,40.44,17.3095945,House,Female,Credit,Credit,Sammie,Hidden Springs,43.723879,-116.255046,Oct
38,42245,829,Saturday,2,1.7,0.727083333,6.54,20.46,31.9648094,Apartment,Female,Cash,Cash,Sammie,WhiteWater - Downtown (South of State),43.624462,-116.21835,Aug
39,42246,830,Sunday,6,1.2,0.727083333,6,24.16,24.8344371,Apartment,Female,Cash,Credit,Angel,Collister - Gary (North of State),43.666573,-116.263356,Aug
40,42224,808,Saturday,3,2.7,0.726388889,4,24.59,16.2667751,Apartment,Male,Credit,Credit,Sammie,Garden City,43.633857,-116.24628,Aug
41,42239,823,Sunday,9,0.4,0.726388889,3.69,26.31,14.0250855,Apartment,Male,Cash,Cash,Sammie,WhiteWater - Gary (South of State),43.652722,-116.259743,Aug
42,42267,920,Sunday,6,1.3,0.726388889,5,23.13,21.6169477,House,Female,Credit,Credit,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Sep
43,42286,1009,Friday,5,1.2,0.726388889,3,28.12,10.6685633,House,Male,Cash,Credit,Angel,28th - Collister (North of State),43.648076,-116.23413,Oct
44,42289,1012,Monday,6,0.8,0.726388889,0,14.65,0,Apartment,Male,-,Cash,Angel,Collister - Gary (North of State),43.666573,-116.263356,Oct
45,42209,724,Friday,3,2.7,0.725694444,2.22,16.78,13.2300358,House,Male,Cash,Cash,Angel,Garden City,43.633857,-116.24628,Jul
46,42233,817,Monday,6,0.9,0.725694444,4,21.76,18.3823529,House,Female,Cash,Cash,Sammie,Collister - Gary (North of State),43.666573,-116.263356,Aug
47,42238,822,Saturday,4,1.7,0.725694444,6.83,33.17,20.5908954,House,Female,Cash,Cash,Angel,Bogus Basin - Gary (North of Hill),43.659428,-116.231891,Aug
48,42282,1005,Monday,2,1.2,0.725694444,5,32.67,15.3045608,House,Female,Credit,Credit,Angel,WhiteWater - Downtown (South of State),43.624462,-116.21835,Oct
49,42293,1016,Friday,9,0.3,0.725694444,10,61.61,16.2311313,Apartment,Male,Credit,Credit,Angel,WhiteWater - Gary (South of State),43.652722,-116.259743,Oct
50,42211,726,Sunday,5,1,0.725,2.56,15.44,16.5803109,House,Male,Cash,Cash,Angel,28th - Collister (North of State),43.648076,-116.23413,Jul
